puma,sex,age,educ,income,latino,black,asian,married
63302,1,30,9,9000,0,0,1,1
62201,0,28,13,35000,0,0,1,1
66114,0,31,8,14320,1,0,0,0
68113,1,41,6,0,0,0,0,1
62713,1,36,3,27000,0,0,1,1
64900,0,50,3,0,1,0,0,0
65413,1,18,8,0,0,0,1,0
63302,0,46,10,64050,0,0,0,1
65413,1,60,4,8100,0,0,0,0
62102,0,79,13,170600,0,0,1,1
68004,0,45,11,12900,0,0,0,1
64700,0,47,14,80300,0,0,0,1
67501,0,35,9,21000,1,0,0,1
68104,0,47,12,46000,1,0,0,1
62404,1,20,9,29000,0,1,0,0
61403,0,49,1,9600,0,0,1,1
67501,1,78,10,23900,0,0,0,0
66601,0,37,10,3800,0,0,0,1
63903,1,18,3,0,1,0,0,0
68116,0,43,3,14000,1,0,0,1
62410,0,68,6,16800,0,0,0,1
62407,1,24,13,35300,0,1,1,0
65600,0,51,11,1600,0,0,0,1
66701,0,33,1,800,1,0,0,1
65421,0,48,2,0,1,0,0,0
68103,0,19,10,0,1,0,0,1
65407,0,37,7,26000,1,0,0,1
62406,1,53,9,11200,0,0,0,0
68101,1,33,12,26900,1,0,0,0
65417,0,35,4,2500,1,0,0,0
65417,1,74,2,10200,1,0,0,0
66105,0,22,13,35000,1,0,0,0
62302,0,34,6,28000,1,0,0,1
63902,1,43,9,28000,0,0,0,1
63100,0,19,9,0,1,0,0,0
63701,1,81,10,7800,0,0,0,0
67501,0,23,1,0,1,0,0,0
67502,1,19,8,0,1,0,0,1
65414,1,53,9,31100,1,0,0,0
64300,1,64,8,0,0,0,0,1
66400,1,47,10,13600,0,0,0,1
64900,1,68,13,8100,1,0,0,1
62403,0,46,14,57140,0,0,0,1
66300,1,36,10,13900,0,0,0,0
62709,0,50,3,32000,0,0,1,1
63800,0,51,12,43500,0,0,0,1
68101,1,30,14,50000,0,0,0,0
66122,0,32,11,68000,0,0,0,0
66105,0,43,6,8300,1,0,0,0
62204,0,40,12,58000,1,0,0,0
63503,0,39,2,6500,1,0,0,1
67900,1,24,9,24000,1,0,0,1
65421,1,39,9,28500,0,1,0,0
65414,1,63,13,2000,0,0,1,1
68104,0,31,10,15000,1,0,0,0
68105,1,26,11,8000,0,0,1,0
68109,0,25,12,19200,0,1,0,1
68113,0,35,13,170000,0,0,0,1
66900,0,77,3,0,1,0,0,1
62401,1,75,11,44600,0,1,0,0
64404,1,23,13,12000,0,0,0,0
63701,1,93,13,14300,0,0,0,1
67200,1,38,9,40800,0,0,0,0
66106,0,41,11,51000,0,0,0,1
62104,0,47,14,62360,0,0,0,1
64403,0,26,8,20000,0,1,0,0
66802,1,34,10,30000,1,0,0,0
63503,1,28,5,0,0,0,0,1
66109,0,22,9,28000,1,0,0,1
66105,0,58,3,50000,1,0,0,1
61102,1,41,9,7200,0,0,0,1
65422,0,22,3,10000,1,0,0,1
65408,0,57,11,80000,0,0,0,1
62707,0,37,13,105000,0,0,0,1
65405,0,49,16,100150,0,0,0,0
66601,0,68,11,28900,0,0,0,0
62500,1,32,9,39100,0,0,0,0
65410,1,53,16,32370,0,0,0,0
67502,0,26,9,75000,0,0,0,0
62707,1,47,11,0,0,0,0,1
60300,1,35,10,0,0,0,0,1
60100,1,40,7,40000,0,0,1,1
66123,1,29,9,47200,0,1,0,0
64800,1,20,11,8000,0,0,0,0
62703,1,41,8,12000,0,0,0,1
65404,1,31,13,30000,0,0,0,1
62202,1,30,12,56700,0,0,0,1
62410,1,20,11,38400,1,0,0,0
67802,1,27,9,11200,0,1,0,0
67100,0,64,13,8300,0,0,0,1
67501,1,29,11,50000,0,0,1,0
65702,1,24,11,30000,0,0,1,0
63600,0,79,4,17100,0,0,0,1
65412,0,36,8,40000,0,0,0,0
64401,1,29,12,27000,1,0,0,1
62106,0,26,9,45000,0,0,0,0
66104,1,36,14,32900,0,0,0,0
61101,1,51,9,9300,0,0,0,1
60200,0,48,9,19400,0,0,1,1
60700,0,71,11,20000,0,0,0,1
68106,0,44,11,41500,0,0,0,0
61601,0,47,9,11800,0,0,0,1
60600,0,47,10,29000,0,0,0,1
60600,0,21,11,8600,1,0,0,0
61505,1,42,13,10000,0,0,0,1
66601,0,36,3,18820,1,0,0,1
61403,1,34,12,18000,0,1,0,0
65416,1,33,10,20000,1,0,0,1
67700,1,33,11,27000,0,0,0,0
66112,1,63,13,3900,0,0,1,0
63100,1,44,6,26200,1,0,0,0
66116,1,47,12,0,0,0,0,1
68101,1,46,13,40000,0,0,0,0
65401,0,65,14,71700,0,0,0,0
65703,1,32,12,13000,1,0,0,1
61501,0,40,9,40000,0,0,0,1
67602,0,40,9,48000,0,0,0,1
65402,0,60,9,24700,0,0,0,1
62701,1,88,11,0,0,0,0,1
67700,0,47,12,70000,0,1,0,0
62405,0,23,10,25000,0,0,1,0
65900,1,51,14,88000,0,0,1,1
66117,1,52,11,0,0,0,0,1
66107,0,19,11,3100,1,0,0,0
62107,1,19,9,5800,1,0,0,0
62802,0,54,14,77090,0,0,0,1
68104,1,68,14,40700,0,0,0,1
66121,1,29,12,28900,0,0,0,0
67605,1,83,9,11750,0,0,0,0
67603,1,33,13,45000,0,0,0,0
65405,0,39,11,22000,0,0,1,0
62207,1,71,9,12600,0,1,0,0
64404,0,44,7,40000,0,1,0,1
64900,0,21,12,47000,1,1,0,0
62108,1,43,9,24100,0,0,0,1
64402,1,26,9,20000,0,0,0,1
68109,1,77,3,8000,0,0,1,0
67605,0,45,11,12500,0,0,0,1
62305,0,46,12,48000,1,0,0,0
63100,0,61,12,58220,0,0,0,1
68112,1,69,8,6000,0,0,0,1
68114,1,31,12,17000,0,0,0,1
61301,1,49,3,8900,1,0,0,1
63402,0,55,11,27000,0,0,0,1
61505,0,50,15,4000,1,0,0,1
64600,1,65,9,9800,1,0,0,1
66109,1,47,1,3600,0,0,1,1
65411,1,21,9,2500,0,0,1,0
63100,1,68,6,5800,0,0,0,1
65404,0,75,4,32200,1,0,0,0
64401,0,37,13,165000,1,0,0,1
60800,1,35,9,8000,0,0,1,1
68108,0,38,11,33000,0,0,0,0
67605,1,33,11,0,0,0,1,1
65000,0,57,10,0,0,1,0,0
66118,1,55,9,10800,0,0,0,1
64401,0,30,9,11000,1,0,0,1
65412,1,51,11,61000,0,1,0,0
65413,0,25,1,0,1,0,0,0
62405,1,39,9,24000,0,0,1,1
62405,1,54,9,0,0,0,0,1
63902,0,46,11,43740,0,0,0,1
65402,1,38,8,12000,1,0,0,1
62403,0,72,9,22300,0,0,1,1
66110,1,51,7,11000,1,0,0,0
62702,0,25,11,208000,0,0,0,0
65200,0,29,9,19300,0,1,0,0
62900,0,57,9,27800,0,0,0,1
62301,1,27,9,0,0,0,0,0
63402,0,39,9,35000,0,0,0,0
68200,1,44,8,0,1,0,0,1
62713,1,63,3,16000,1,0,0,1
60100,0,35,9,13000,0,0,0,1
66500,1,48,13,45500,0,0,0,0
66701,1,44,1,17500,1,0,0,1
63301,0,47,3,35000,1,0,0,1
67000,0,52,9,83110,0,0,0,1
65422,1,21,11,12100,1,0,0,0
64900,1,33,15,62000,0,0,1,1
63503,1,35,9,21600,0,0,0,1
60600,1,22,12,7600,0,0,0,0
63301,1,22,7,0,1,0,0,1
61101,0,44,11,66000,0,0,0,1
67601,0,27,13,17000,0,0,0,0
62708,1,29,13,18800,0,0,1,1
66702,1,34,8,9000,1,0,0,1
66802,1,28,9,20000,1,0,0,1
62304,0,76,11,12000,0,0,1,1
61504,0,48,14,40000,0,0,0,0
64000,1,29,12,20000,0,0,1,0
68112,1,49,9,3600,0,0,0,0
67601,0,83,14,36200,0,0,0,0
67607,1,50,13,58000,0,0,0,0
64800,0,68,10,56000,0,0,0,1
64700,0,37,8,28000,1,0,0,1
67700,1,25,12,15000,0,0,0,1
64900,0,24,12,6800,0,0,0,1
62108,0,38,9,50000,0,0,0,0
63001,1,82,4,2100,0,0,0,1
63402,1,63,2,600,1,0,0,0
62204,1,27,13,23000,0,0,0,1
62410,1,35,13,90750,0,0,0,1
62001,0,39,9,20800,0,0,1,1
60100,1,37,9,3960,1,0,0,1
66200,1,47,7,0,1,0,0,1
68106,0,37,9,4000,0,0,0,1
66125,0,30,13,110500,0,0,0,0
65800,0,45,10,37500,1,0,0,1
65401,1,47,13,140000,0,0,0,1
